ID,control,tool,n_burst,burstStart,burstDur,pauseDur,cycleDur,burstPct,pausePct,totalActions,totalChars,finalChars,totalDeletions,innerDeletions,posStart,posEnd,docLen,categ,charBurst,ratio
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,598,597,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,597,596,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,596,595,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,595,594,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,594,593,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,593,618,724,P,ilise␣pour␣la␣plupart␣dut,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,618,617,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,617,639,724,P,␣temps␣des␣médicament␣,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,639,638,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,638,662,724,P,s␣plus␣ou␣moins␣chimisuq,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,662,661,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,661,660,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,660,663,724,P,que,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,663,662,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,662,661,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,661,660,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,660,659,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,659,724,724,P,que␣pouvant␣parfois␣être␣plus␣nocif␣que␣la␣maladie␣en␣elle-même.␣,13.16
P+S1,+,TW,17,1219.813,9.58,1.55,11.13,0.86,0.14,58,58,58,0,0,724,782,782,P,"Cependant,␣si␣nous␣devons␣faire␣une␣comparaison␣entre␣ces␣",6.18
P+S1,+,TW,18,1230.941,20.75,3.25,24.0,0.86,0.14,100,100,100,0,0,782,882,882,P,"deux␣méthodes␣médicales,␣il␣s'avère␣être␣vrai␣que␣la␣médecine␣alternative␣pose␣beaucoup␣de␣problème␣",6.38
P+S1,+,TW,21,1260.652,9.7,3.8,13.5,0.72,0.28,9,8,8,1,0,855,860,889,R,␣peut,2.55
P+S1,+,TW,21,1260.652,9.7,3.8,13.5,0.72,0.28,9,8,8,1,0,865,864,889,P,⌫,2.55
P+S1,+,TW,21,1260.652,9.7,3.8,13.5,0.72,0.28,9,8,8,1,0,864,865,889,R,é,2.55
P+S1,+,TW,21,1260.652,9.7,3.8,13.5,0.72,0.28,9,8,8,1,0,886,888,889,P,s␣,2.55
P+S1,+,TW,22,1274.148,2.09,2.37,4.46,0.47,0.53,11,11,11,0,0,888,899,900,P,à␣nos␣jours,0.88
P+S1,+,TW,23,1278.604,20.59,2.0,22.59,0.91,0.09,105,104,103,1,1,899,905,1003,P,",␣en␣f",10.29
P+S1,+,TW,23,1278.604,20.59,2.0,22.59,0.91,0.09,105,104,103,1,1,905,904,1003,P,⌫,10.29
P+S1,+,TW,23,1278.604,20.59,2.0,22.59,0.91,0.09,105,104,103,1,1,904,1002,1003,P,"effet␣une␣partie␣de␣cette␣médecine␣ce␣basant␣aux␣ancienne␣croyances,␣les␣erreurs␣médicale␣de␣diago",10.29
P+S1,+,TW,24,1301.196,6.27,6.52,12.79,0.49,0.51,32,30,29,2,1,1002,1001,1031,ER,⌫,0.96
P+S1,+,TW,24,1301.196,6.27,6.52,12.79,0.49,0.51,32,30,29,2,1,1001,1017,1031,ER,nostic␣ce␣font␣é,0.96
P+S1,+,TW,24,1301.196,6.27,6.52,12.79,0.49,0.51,32,30,29,2,1,1017,1016,1031,P,⌫,0.96
P+S1,+,TW,24,1301.196,6.27,6.52,12.79,0.49,0.51,32,30,29,2,1,1016,1030,1031,P,beaucoup␣plus␣,0.96
P+S1,+,TW,25,1313.988,5.34,2.21,7.55,0.71,0.29,23,23,23,0,0,1030,1053,1054,P,qu'en␣médecine␣moderner,2.42
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1053,1052,1148,ER,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1052,1109,1148,ER,␣et␣malheureusement␣dans␣certains␣cas␣des␣erreurs␣de␣diag,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1109,1108,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1108,1107,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1107,1106,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1106,1105,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1105,1104,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1104,1103,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1103,1102,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1102,1120,1148,P,comme␣cells-ci␣peu,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1120,1119,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1119,1118,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1118,1117,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1117,1116,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1116,1115,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1115,1114,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1114,1113,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1113,1112,1148,P,⌫,1.24
P+S1,+,TW,26,1321.54,23.71,19.12,42.83,0.55,0.45,126,110,95,16,15,1112,1147,1148,P,es-ci␣peuvent␣parfois␣être␣fatale.␣,1.24
P+S1,+,TW,27,1364.371,35.79,3.1,38.89,0.92,0.08,175,173,171,2,2,1147,1315,1319,P,"La␣médecine␣alternative␣pose␣aussi␣problème␣dans␣le␣sens␣où␣elle␣ne␣progresse␣pas␣contrairement␣à␣la␣medecine␣moderne,␣cette␣dernière␣dispose␣des␣dernières␣technologiqu",11.55
P+S1,+,TW,27,1364.371,35.79,3.1,38.89,0.92,0.08,175,173,171,2,2,1315,1314,1319,P,⌫,11.55
P+S1,+,TW,27,1364.371,35.79,3.1,38.89,0.92,0.08,175,173,171,2,2,1314,1313,1319,P,⌫,11.55
P+S1,+,TW,27,1364.371,35.79,3.1,38.89,0.92,0.08,175,173,171,2,2,1313,1318,1319,P,e␣et␣,11.55
P+S1,+,TW,28,1403.259,3.54,2.59,6.13,0.58,0.42,22,18,18,4,0,1318,1317,1333,ER,⌫,1.37
P+S1,+,TW,28,1403.259,3.54,2.59,6.13,0.58,0.42,22,18,18,4,0,1317,1316,1333,P,⌫,1.37
P+S1,+,TW,28,1403.259,3.54,2.59,6.13,0.58,0.42,22,18,18,4,0,1316,1315,1333,P,⌫,1.37
P+S1,+,TW,28,1403.259,3.54,2.59,6.13,0.58,0.42,22,18,18,4,0,1315,1314,1333,ER,⌫,1.37
P+S1,+,TW,28,1403.259,3.54,2.59,6.13,0.58,0.42,22,18,18,4,0,1314,1332,1333,ER,",␣connaissance␣et␣",1.37
P+S1,+,TW,29,1409.395,27.06,16.8,43.86,0.62,0.38,133,127,121,6,6,1332,1382,1454,P,recherches␣afin␣de␣découvrir␣de␣nouvelles␣maladie␣,1.61
P+S1,+,TW,29,1409.395,27.06,16.8,43.86,0.62,0.38,133,127,121,6,6,1382,1381,1454,P,⌫,1.61
P+S1,+,TW,29,1409.395,27.06,16.8,43.86,0.62,0.38,133,127,121,6,6,1381,1439,1454,P,s␣pathogène␣mais␣aussi␣afin␣de␣trouver␣un␣antidote␣cotre␣c,1.61
P+S1,+,TW,29,1409.395,27.06,16.8,43.86,0.62,0.38,133,127,121,6,6,1439,1438,1454,P,⌫,1.61
P+S1,+,TW,29,1409.395,27.06,16.8,43.86,0.62,0.38,133,127,121,6,6,1438,1437,1454,P,⌫,1.61
P+S1,+,TW,29,1409.395,27.06,16.8,43.86,0.62,0.38,133,127,121,6,6,1437,1436,1454,P,⌫,1.61
P+S1,+,TW,29,1409.395,27.06,16.8,43.86,0.62,0.38,133,127,121,6,6,1436,1435,1454,P,⌫,1.61
P+S1,+,TW,29,1409.395,27.06,16.8,43.86,0.62,0.38,133,127,121,6,6,1435,1434,1454,P,⌫,1.61
P+S1,+,TW,29,1409.395,27.06,16.8,43.86,0.62,0.38,133,127,121,6,6,1434,1453,1454,P,ntre␣ces␣derniers.␣,1.61
P+S1,+,TW,30,1453.258,14.22,2.64,16.86,0.84,0.16,52,49,46,3,3,1453,1456,1500,P,Mla,5.39
P+S1,+,TW,30,1453.258,14.22,2.64,16.86,0.84,0.16,52,49,46,3,3,1456,1455,1500,P,⌫,5.39
P+S1,+,TW,30,1453.258,14.22,2.64,16.86,0.84,0.16,52,49,46,3,3,1455,1454,1500,P,⌫,5.39
P+S1,+,TW,30,1453.258,14.22,2.64,16.86,0.84,0.16,52,49,46,3,3,1454,1467,1500,P,alheureusemet,5.39
P+S1,+,TW,30,1453.258,14.22,2.64,16.86,0.84,0.16,52,49,46,3,3,1467,1466,1500,P,⌫,5.39
P+S1,+,TW,30,1453.258,14.22,2.64,16.86,0.84,0.16,52,49,46,3,3,1466,1499,1500,P,"nt␣en␣médecine,␣il␣est␣important␣",5.39
P+S1,+,TW,31,1470.114,10.77,22.94,33.71,0.32,0.68,57,52,47,5,5,1499,1513,1547,P,de␣bien␣connaô,0.47
P+S1,+,TW,31,1470.114,10.77,22.94,33.71,0.32,0.68,57,52,47,5,5,1513,1512,1547,P,⌫,0.47
P+S1,+,TW,31,1470.114,10.77,22.94,33.71,0.32,0.68,57,52,47,5,5,1512,1527,1547,P,ître␣la␣maldie␣,0.47
P+S1,+,TW,31,1470.114,10.77,22.94,33.71,0.32,0.68,57,52,47,5,5,1527,1526,1547,P,⌫,0.47
P+S1,+,TW,31,1470.114,10.77,22.94,33.71,0.32,0.68,57,52,47,5,5,1526,1525,1547,P,⌫,0.47
P+S1,+,TW,31,1470.114,10.77,22.94,33.71,0.32,0.68,57,52,47,5,5,1525,1524,1547,P,⌫,0.47
P+S1,+,TW,31,1470.114,10.77,22.94,33.71,0.32,0.68,57,52,47,5,5,1524,1523,1547,P,⌫,0.47
P+S1,+,TW,31,1470.114,10.77,22.94,33.71,0.32,0.68,57,52,47,5,5,1523,1546,1547,P,adie␣afin␣de␣la␣soignée,0.47
P+S1,+,TW,32,1503.826,18.22,3.79,22.01,0.83,0.17,95,93,91,2,2,1546,1620,1638,P,␣et␣ce␣n'est␣pas␣toujours␣le␣cas␣de␣la␣médecine␣alternative␣même␣si␣cetted,4.81
P+S1,+,TW,32,1503.826,18.22,3.79,22.01,0.83,0.17,95,93,91,2,2,1620,1619,1638,P,⌫,4.81
P+S1,+,TW,32,1503.826,18.22,3.79,22.01,0.83,0.17,95,93,91,2,2,1619,1620,1638,P,d,4.81
P+S1,+,TW,32,1503.826,18.22,3.79,22.01,0.83,0.17,95,93,91,2,2,1620,1619,1638,P,⌫,4.81
P+S1,+,TW,32,1503.826,18.22,3.79,22.01,0.83,0.17,95,93,91,2,2,1619,1637,1638,P,␣dernière␣dispose␣,4.81
P+S1,+,TW,33,1525.834,13.78,13.62,27.4,0.5,0.5,74,70,66,4,4,1637,1674,1704,P,aussi␣de␣remède␣pouvant␣être␣plus␣afi,1.01
P+S1,+,TW,33,1525.834,13.78,13.62,27.4,0.5,0.5,74,70,66,4,4,1674,1673,1704,P,⌫,1.01
P+S1,+,TW,33,1525.834,13.78,13.62,27.4,0.5,0.5,74,70,66,4,4,1673,1674,1704,P,f,1.01
P+S1,+,TW,33,1525.834,13.78,13.62,27.4,0.5,0.5,74,70,66,4,4,1674,1673,1704,P,⌫,1.01
P+S1,+,TW,33,1525.834,13.78,13.62,27.4,0.5,0.5,74,70,66,4,4,1673,1672,1704,P,⌫,1.01
P+S1,+,TW,33,1525.834,13.78,13.62,27.4,0.5,0.5,74,70,66,4,4,1672,1671,1704,P,⌫,1.01
P+S1,+,TW,33,1525.834,13.78,13.62,27.4,0.5,0.5,74,70,66,4,4,1671,1703,1704,P,efficace␣qu'en␣médecine␣moderne.,1.01
P+S1,+,TW,34,1553.226,0.12,31.73,31.85,0.0,1.0,1,1,1,0,0,1703,1704,1705,P,␣,0.0
P+S1,+,TW,35,1585.081,4.98,12.71,17.69,0.28,0.72,5,1,1,4,0,161,160,1705,P,⌫,0.39
P+S1,+,TW,35,1585.081,4.98,12.71,17.69,0.28,0.72,5,1,1,4,0,160,159,1705,P,⌫,0.39
P+S1,+,TW,35,1585.081,4.98,12.71,17.69,0.28,0.72,5,1,1,4,0,159,160,1705,R,s,0.39
P+S1,+,TW,37,1609.041,0.09,6.8,6.89,0.01,0.99,1,1,1,0,0,307,308,1705,R,␣,0.01
P+S1,+,TW,38,1615.929,29.69,1.59,31.28,0.95,0.05,128,124,122,4,2,308,307,1825,ER,⌫,18.67
P+S1,+,TW,38,1615.929,29.69,1.59,31.28,0.95,0.05,128,124,122,4,2,307,306,1825,P,⌫,18.67
P+S1,+,TW,38,1615.929,29.69,1.59,31.28,0.95,0.05,128,124,122,4,2,306,359,1825,R,"␣du␣aux␣croyance␣et␣autre␣connaissances␣antètieures,␣",18.67
P+S1,+,TW,38,1615.929,29.69,1.59,31.28,0.95,0.05,128,124,122,4,2,359,358,1825,R,⌫,18.67
P+S1,+,TW,38,1615.929,29.69,1.59,31.28,0.95,0.05,128,124,122,4,2,358,357,1825,R,⌫,18.67
P+S1,+,TW,38,1615.929,29.69,1.59,31.28,0.95,0.05,128,124,122,4,2,357,428,1825,R,␣et␣même␣si␣elle␣est␣dépassé␣sur␣certains␣cas␣de␣maladie␣à␣l'heure␣actu,18.67
P+S1,+,TW,39,1647.209,1.13,3.12,4.25,0.27,0.73,4,4,4,0,0,428,432,1829,R,elle,0.36
P+S1,+,TW,42,1659.305,6.47,1.7,8.17,0.79,0.21,9,9,9,0,0,583,592,1839,R,␣au␣final,3.81
P+S1,+,TW,43,1667.481,5.34,15.34,20.68,0.26,0.74,3,1,1,2,0,643,642,1838,P,⌫,0.35
P+S1,+,TW,43,1667.481,5.34,15.34,20.68,0.26,0.74,3,1,1,2,0,642,643,1838,R,t,0.35
P+S1,+,TW,46,1695.32,3.24,3.77,7.01,0.46,0.54,18,18,18,0,0,855,873,1856,R,␣et␣pouvant␣créer␣,0.86
P+S1,+,TW,47,1702.328,19.17,2.13,21.3,0.9,0.1,77,72,67,5,5,873,890,1923,R,d'autre␣problème␣,9.0
P+S1,+,TW,47,1702.328,19.17,2.13,21.3,0.9,0.1,77,72,67,5,5,890,889,1923,P,⌫,9.0
P+S1,+,TW,47,1702.328,19.17,2.13,21.3,0.9,0.1,77,72,67,5,5,889,894,1923,R,s␣méi,9.0
P+S1,+,TW,47,1702.328,19.17,2.13,21.3,0.9,0.1,77,72,67,5,5,894,893,1923,P,⌫,9.0
P+S1,+,TW,47,1702.328,19.17,2.13,21.3,0.9,0.1,77,72,67,5,5,893,898,1923,R,dixau,9.0
P+S1,+,TW,47,1702.328,19.17,2.13,21.3,0.9,0.1,77,72,67,5,5,898,897,1923,P,⌫,9.0
P+S1,+,TW,47,1702.328,19.17,2.13,21.3,0.9,0.1,77,72,67,5,5,897,896,1923,P,⌫,9.0
P+S1,+,TW,47,1702.328,19.17,2.13,21.3,0.9,0.1,77,72,67,5,5,896,895,1923,P,⌫,9.0
P+S1,+,TW,47,1702.328,19.17,2.13,21.3,0.9,0.1,77,72,67,5,5,895,920,1923,R,caux␣chez␣le␣plus␣patient,9.0
P+S1,+,TW,47,1702.328,19.17,2.13,21.3,0.9,0.1,77,72,67,5,5,899,919,1923,R,␣plus␣ou␣moins␣grave,9.0
P+S1,+,TW,49,1735.784,7.72,1.77,9.49,0.81,0.19,12,12,12,0,0,1078,1090,1935,R,␣malgré␣tout,4.36
P+S1,+,TW,50,1745.272,5.17,2.72,7.89,0.66,0.34,1,1,1,0,0,1117,1118,1936,R,␣,1.9
P+S1,+,TW,51,1753.16,4.26,3.5,7.76,0.55,0.45,16,16,16,0,0,1117,1133,1952,R,␣et␣erreurs␣médi,1.22
P+S1,+,TW,52,1760.912,0.58,4.14,4.72,0.12,0.88,3,3,3,0,0,1133,1136,1955,R,cal,0.14
P+S1,+,TW,54,1769.936,12.63,2.46,15.09,0.84,0.16,14,9,9,5,0,1190,1189,1961,P,⌫,5.13
P+S1,+,TW,54,1769.936,12.63,2.46,15.09,0.84,0.16,14,9,9,5,0,1189,1190,1961,R,s,5.13
P+S1,+,TW,54,1769.936,12.63,2.46,15.09,0.84,0.16,14,9,9,5,0,1202,1201,1961,P,⌫,5.13
P+S1,+,TW,54,1769.936,12.63,2.46,15.09,0.84,0.16,14,9,9,5,0,1201,1200,1961,P,⌫,5.13
P+S1,+,TW,54,1769.936,12.63,2.46,15.09,0.84,0.16,14,9,9,5,0,1200,1199,1961,P,⌫,5.13
P+S1,+,TW,54,1769.936,12.63,2.46,15.09,0.84,0.16,14,9,9,5,0,1199,1206,1961,R,sur␣les,5.13
P+S1,+,TW,54,1769.936,12.63,2.46,15.09,0.84,0.16,14,9,9,5,0,1215,1216,1961,R,s,5.13
P+S1,+,TW,56,1789.679,5.49,5.1,10.59,0.52,0.48,3,1,1,2,0,1264,1263,1961,P,⌫,1.08
